"date","branch","observation_type","portfolio_kbob","disbursements_kbob","overdue_kbob","clients","mora_rate","source_sheet","portfolio_growth_mom","clients_growth_mom","avg_balance_bob","disbursement_per_client_bob","clients_per_million_bob","client_outreach_index","portfolio_depth_index","risk_penalty","inclusion_responsibility_score"
2012-03-01,"16 de Julio","observed",109.8333994,109.8333297,0,18,0,"PP.16julio",,,6101.85552222222,6101.85165,163.884575168671,0.0106824925816024,0.00351568242235601,1,20.6395951017508
2012-04-01,"16 de Julio","observed",500.3463987,398.7431056,0,79,0,"PP.16julio",3.5555031660069,3.38888888888889,6333.49871772152,5047.3810835443,157.89061379328,0.0468842729970326,0.0160157024057176,1,22.8246847220232
2012-05-01,"16 de Julio","observed",1245.8639414,769.8495339,0,176,0,"PP.16julio",1.49000281532355,1.22784810126582,7078.77239431818,4374.14507897727,141.26743230262,0.104451038575668,0.039879144079621,1,26.418926251172
2012-06-01,"16 de Julio","observed",2555.05,1396.8,0,275,0,"PP.16julio",1.05082586877733,0.5625,9291.09090909091,5079.27272727273,107.629987671474,0.163204747774481,0.081785180303185,1,30.6137927978196
2012-07-01,"16 de Julio","observed",4036.67,1615,0,381,0,"PP.16julio",0.579879063032035,0.385454545454545,10594.9343832021,4238.84514435696,94.3847280060049,0.226112759643917,0.129210694027302,1,35.1819588030149
2012-08-01,"16 de Julio","observed",6237.23,2459.4,0,500,0,"PP.16julio",0.545142406983974,0.312335958005249,12474.46,4918.8,80.1637906570705,0.29673590504451,0.199648922777415,1,40.826262935548
2012-09-01,"16 de Julio","observed",8036.08,2151.6,0,634,0,"PP.16julio",0.288405269646943,0.268,12675.2050473186,3393.69085173502,78.8941872156574,0.376261127596439,0.257228724185757,1,46.5299181053947
2012-10-01,"16 de Julio","observed",10302.53,2856.8,5.55,790,0.000538702629354149,"PP.16julio",0.282034275417866,0.246056782334385,13041.1772151899,3616.20253164557,76.6801940882482,0.468842729970326,0.329776041028149,0.973064868532293,52.7967151000067
2012-11-01,"16 de Julio","observed",12085.33,2408.3,-5.55,899,-0.000459234460291941,"PP.16julio",0.173044873443707,0.137974683544304,13443.0812013348,2678.86540600667,74.3877080725144,0.53353115727003,0.386842094312632,1,58.2818206928805
2012-12-01,"16 de Julio","observed",13441.7,2095.7,10.37,982,0.000771479797942224,"PP.16julio",0.11223276484796,0.0923248053392658,13688.0855397149,2134.11405295316,73.0562354464093,0.582789317507418,0.430258452116914,0.961426010102889,61.2757396409361
2013-01-01,"16 de Julio","observed",14620.19,2170.2,3.62,1059,0.000247602801331583,"PP.16julio",0.0876741781173511,0.0784114052953158,13805.656279509,2049.29178470255,72.4340791740737,0.628486646884273,0.467981008284308,0.987619859933421,65.2161597914113
2013-02-01,"16 de Julio","observed",15548.97,1824.8,40.72,1140,0.00261882298313007,"PP.16julio",0.063527218182527,0.0764872521246458,13639.4473684211,1600.70175438596,73.3167534569814,0.676557863501484,0.497710539902865,0.869058850843496,66.1403863890301
2013-03-01,"16 de Julio","observed",16444.13,2080.2,41.04,1220,0.00249572339795416,"PP.16julio",0.0575703728285539,0.0701754385964912,13478.7950819672,1705.08196721311,74.1906078339201,0.724035608308605,0.526363921245774,0.875213830102292,69.4969746548493
2013-04-01,"16 de Julio","observed",18079.5,2964.7,70.61,1331,0.00390552836085069,"PP.16julio",0.0994500773224245,0.090983606557377,13583.3959429001,2227.42299023291,73.6192925689317,0.789910979228487,0.5787108539134,0.804723581957466,72.9513462179756
2013-05-01,"16 de Julio","observed",19145.88,2400.6,58.12,1406,0.00303564004370653,"PP.16julio",0.0589828258524849,0.0563486100676183,13617.2688477952,1707.39687055477,73.4361648563555,0.834421364985163,0.612844855428717,0.848217997814673,77.0707738684131
2013-06-01,"16 de Julio","observed",19630.58,2084.8,-10.68,1450,-0.000544049131508086,"PP.16julio",0.0253161515689015,0.0312944523470839,13538.3310344828,1437.79310344828,73.8643483789068,0.86053412462908,0.628359728676972,1,81.8774980917632
2013-07-01,"16 de Julio","observed",20415.83,2528.5,18.66,1492,0.000913996638882671,"PP.16julio",0.0400013652169218,0.0289655172413794,13683.5321715818,1694.70509383378,73.0805458313475,0.885459940652819,0.653494975671386,0.954300168055866,82.9638496638999
2013-08-01,"16 de Julio","observed",21161.62,2736.28,-12.49,1526,-0.000590219463349214,"PP.16julio",0.0365299867798663,0.0227882037533511,13867.378768021,1793.10615989515,72.1116814308167,0.905637982195846,0.67736713849337,1,85.6029132645934
2013-09-01,"16 de Julio","observed",22062.39,2859.75,-54.66,1570,-0.0024775194346578,"PP.16julio",0.0425662118495653,0.0288335517693317,14052.4777070064,1821.49681528662,71.1618278890002,0.931750741839763,0.706200091610413,1,87.7735398403005
2013-10-01,"16 de Julio","observed",23705.26,3771.6,41.52,1617,0.0017515100024214,"PP.16julio",0.0744647338751603,0.0299363057324842,14660.0247371676,2332.46753246753,68.2127089093307,0.959643916913947,0.758787093494796,0.91242449987893,88.9942986481198
2013-11-01,"16 de Julio","observed",25492.5,3948.3,-52.19,1638,-0.00204726880455036,"PP.16julio",0.075394237397101,0.0129870129870129,15563.1868131868,2410.43956043956,64.2541924095322,0.972106824925816,0.815995267755599,1,93.0851992789588
2013-12-01,"16 de Julio","observed",26577.75,3243.1,1.63,1641,6.13294955366801e-05,"PP.16julio",0.0425713445130922,0.00183150183150182,16196.0694698355,1976.29494210847,61.7433755679092,0.973887240356083,0.850733283420276,0.996933525223166,94.1550310248757
2014-01-01,"16 de Julio","observed",27343.68,3081.5,-2.53,1649,-9.25259511521492e-05,"PP.16julio",0.0288184665744844,0.00487507617306515,16581.9769557307,1868.70830806549,60.3064400987724,0.978635014836795,0.875250112112324,1,95.1892541052095
