"date","branch","observation_type","portfolio_kbob","disbursements_kbob","overdue_kbob","clients","mora_rate","source_sheet","portfolio_growth_mom","clients_growth_mom","avg_balance_bob","disbursement_per_client_bob","clients_per_million_bob","month_index","maturity_stage","positive_mora","risk_adjusted_growth","disbursement_growth_mom","next_mora_rate","next_mora_change"
2012-03-01,"16 de Julio","observed",109.8333994,109.8333297,0,18,0,"PP.16julio",,,6101.85552222222,6101.85165,163.884575168671,1,"Launch",0,,,0,0
2012-04-01,"16 de Julio","observed",500.3463987,398.7431056,0,79,0,"PP.16julio",3.5555031660069,3.38888888888889,6333.49871772152,5047.3810835443,157.89061379328,2,"Launch",0,3.5555031660069,2.63043810734985,0,0
2012-05-01,"16 de Julio","observed",1245.8639414,769.8495339,0,176,0,"PP.16julio",1.49000281532355,1.22784810126582,7078.77239431818,4374.14507897727,141.26743230262,3,"Launch",0,1.49000281532355,0.930690520006823,0,0
2012-06-01,"16 de Julio","observed",2555.05,1396.8,0,275,0,"PP.16julio",1.05082586877733,0.5625,9291.09090909091,5079.27272727273,107.629987671474,4,"Launch",0,1.05082586877733,0.814380523066522,0,0
2012-07-01,"16 de Julio","observed",4036.67,1615,0,381,0,"PP.16julio",0.579879063032035,0.385454545454545,10594.9343832021,4238.84514435696,94.3847280060049,5,"Launch",0,0.579879063032035,0.156214203894616,0,0
2012-08-01,"16 de Julio","observed",6237.23,2459.4,0,500,0,"PP.16julio",0.545142406983974,0.312335958005249,12474.46,4918.8,80.1637906570705,6,"Launch",0,0.545142406983974,0.522848297213622,0,0
2012-09-01,"16 de Julio","observed",8036.08,2151.6,0,634,0,"PP.16julio",0.288405269646943,0.268,12675.2050473186,3393.69085173502,78.8941872156574,7,"Scale-up",0,0.288405269646943,-0.125152476213711,0.000538702629354149,0.000538702629354149
2012-10-01,"16 de Julio","observed",10302.53,2856.8,5.55,790,0.000538702629354149,"PP.16julio",0.282034275417866,0.246056782334385,13041.1772151899,3616.20253164557,76.6801940882482,8,"Scale-up",0.000538702629354149,0.281495572788511,0.327756088492285,0,-0.000538702629354149
2012-11-01,"16 de Julio","observed",12085.33,2408.3,-5.55,899,-0.000459234460291941,"PP.16julio",0.173044873443707,0.137974683544304,13443.0812013348,2678.86540600667,74.3877080725144,9,"Scale-up",0,0.173044873443707,-0.156993839260711,0.000771479797942224,0.000771479797942224
2012-12-01,"16 de Julio","observed",13441.7,2095.7,10.37,982,0.000771479797942224,"PP.16julio",0.11223276484796,0.0923248053392658,13688.0855397149,2134.11405295316,73.0562354464093,10,"Scale-up",0.000771479797942224,0.111461285050018,-0.129801104513557,0.000247602801331583,-0.000523876996610641
2013-01-01,"16 de Julio","observed",14620.19,2170.2,3.62,1059,0.000247602801331583,"PP.16julio",0.0876741781173511,0.0784114052953158,13805.656279509,2049.29178470255,72.4340791740737,11,"Scale-up",0.000247602801331583,0.0874265753160195,0.035548981247316,0.00261882298313007,0.00237122018179849
2013-02-01,"16 de Julio","observed",15548.97,1824.8,40.72,1140,0.00261882298313007,"PP.16julio",0.063527218182527,0.0764872521246458,13639.4473684211,1600.70175438596,73.3167534569814,12,"Scale-up",0.00261882298313007,0.060908395199397,-0.159155838171597,0.00249572339795416,-0.000123099585175909
2013-03-01,"16 de Julio","observed",16444.13,2080.2,41.04,1220,0.00249572339795416,"PP.16julio",0.0575703728285539,0.0701754385964912,13478.7950819672,1705.08196721311,74.1906078339201,13,"Scale-up",0.00249572339795416,0.0550746494305998,0.139960543621219,0.00390552836085069,0.00140980496289652
2013-04-01,"16 de Julio","observed",18079.5,2964.7,70.61,1331,0.00390552836085069,"PP.16julio",0.0994500773224245,0.090983606557377,13583.3959429001,2227.42299023291,73.6192925689317,14,"Scale-up",0.00390552836085069,0.0955445489615738,0.425199500048072,0.00303564004370653,-0.000869888317144157
2013-05-01,"16 de Julio","observed",19145.88,2400.6,58.12,1406,0.00303564004370653,"PP.16julio",0.0589828258524849,0.0563486100676183,13617.2688477952,1707.39687055477,73.4361648563555,15,"Scale-up",0.00303564004370653,0.0559471858087784,-0.190272202921038,0,-0.00303564004370653
2013-06-01,"16 de Julio","observed",19630.58,2084.8,-10.68,1450,-0.000544049131508086,"PP.16julio",0.0253161515689015,0.0312944523470839,13538.3310344828,1437.79310344828,73.8643483789068,16,"Scale-up",0,0.0253161515689015,-0.131550445721903,0.000913996638882671,0.000913996638882671
2013-07-01,"16 de Julio","observed",20415.83,2528.5,18.66,1492,0.000913996638882671,"PP.16julio",0.0400013652169218,0.0289655172413794,13683.5321715818,1694.70509383378,73.0805458313475,17,"Scale-up",0.000913996638882671,0.0390873685780391,0.212826170376055,0,-0.000913996638882671
2013-08-01,"16 de Julio","observed",21161.62,2736.28,-12.49,1526,-0.000590219463349214,"PP.16julio",0.0365299867798663,0.0227882037533511,13867.378768021,1793.10615989515,72.1116814308167,18,"Scale-up",0,0.0365299867798663,0.0821752026893416,0,0
2013-09-01,"16 de Julio","observed",22062.39,2859.75,-54.66,1570,-0.0024775194346578,"PP.16julio",0.0425662118495653,0.0288335517693317,14052.4777070064,1821.49681528662,71.1618278890002,19,"Consolidation",0,0.0425662118495653,0.0451233060944054,0.0017515100024214,0.0017515100024214
2013-10-01,"16 de Julio","observed",23705.26,3771.6,41.52,1617,0.0017515100024214,"PP.16julio",0.0744647338751603,0.0299363057324842,14660.0247371676,2332.46753246753,68.2127089093307,20,"Consolidation",0.0017515100024214,0.0727132238727389,0.318856543404144,0,-0.0017515100024214
