"date","branch","observation_type","portfolio_kbob","disbursements_kbob","overdue_kbob","clients","mora_rate","source_sheet","portfolio_growth_mom","clients_growth_mom","avg_balance_bob","disbursement_per_client_bob","clients_per_million_bob","growth_kbob","amortization_kbob","historical_portfolio_growth","historical_mora","cycle_growth_rate"
2012-03-01,"16 de Julio","observed",109.8333994,109.8333297,0,18,0,"PP.16julio",,,6101.85552222222,6101.85165,163.884575168671,,,,,
2012-04-01,"16 de Julio","observed",500.3463987,398.7431056,0,79,0,"PP.16julio",3.5555031660069,3.38888888888889,6333.49871772152,5047.3810835443,157.89061379328,,,,,
2012-05-01,"16 de Julio","observed",1245.8639414,769.8495339,0,176,0,"PP.16julio",1.49000281532355,1.22784810126582,7078.77239431818,4374.14507897727,141.26743230262,,,,,
2012-06-01,"16 de Julio","observed",2555.05,1396.8,0,275,0,"PP.16julio",1.05082586877733,0.5625,9291.09090909091,5079.27272727273,107.629987671474,,,,,
2012-07-01,"16 de Julio","observed",4036.67,1615,0,381,0,"PP.16julio",0.579879063032035,0.385454545454545,10594.9343832021,4238.84514435696,94.3847280060049,,,,,
2012-08-01,"16 de Julio","observed",6237.23,2459.4,0,500,0,"PP.16julio",0.545142406983974,0.312335958005249,12474.46,4918.8,80.1637906570705,,,,,
2012-09-01,"16 de Julio","observed",8036.08,2151.6,0,634,0,"PP.16julio",0.288405269646943,0.268,12675.2050473186,3393.69085173502,78.8941872156574,,,,,
2012-10-01,"16 de Julio","observed",10302.53,2856.8,5.55,790,0.000538702629354149,"PP.16julio",0.282034275417866,0.246056782334385,13041.1772151899,3616.20253164557,76.6801940882482,,,,,
2012-11-01,"16 de Julio","observed",12085.33,2408.3,-5.55,899,-0.000459234460291941,"PP.16julio",0.173044873443707,0.137974683544304,13443.0812013348,2678.86540600667,74.3877080725144,,,,,
2012-12-01,"16 de Julio","observed",13441.7,2095.7,10.37,982,0.000771479797942224,"PP.16julio",0.11223276484796,0.0923248053392658,13688.0855397149,2134.11405295316,73.0562354464093,,,,,
2013-01-01,"16 de Julio","observed",14620.19,2170.2,3.62,1059,0.000247602801331583,"PP.16julio",0.0876741781173511,0.0784114052953158,13805.656279509,2049.29178470255,72.4340791740737,,,,,
2013-02-01,"16 de Julio","observed",15548.97,1824.8,40.72,1140,0.00261882298313007,"PP.16julio",0.063527218182527,0.0764872521246458,13639.4473684211,1600.70175438596,73.3167534569814,,,,,
2013-03-01,"16 de Julio","observed",16444.13,2080.2,41.04,1220,0.00249572339795416,"PP.16julio",0.0575703728285539,0.0701754385964912,13478.7950819672,1705.08196721311,74.1906078339201,,,,,
2013-04-01,"16 de Julio","observed",18079.5,2964.7,70.61,1331,0.00390552836085069,"PP.16julio",0.0994500773224245,0.090983606557377,13583.3959429001,2227.42299023291,73.6192925689317,,,,,
2013-05-01,"16 de Julio","observed",19145.88,2400.6,58.12,1406,0.00303564004370653,"PP.16julio",0.0589828258524849,0.0563486100676183,13617.2688477952,1707.39687055477,73.4361648563555,,,,,
2013-06-01,"16 de Julio","observed",19630.58,2084.8,-10.68,1450,-0.000544049131508086,"PP.16julio",0.0253161515689015,0.0312944523470839,13538.3310344828,1437.79310344828,73.8643483789068,,,,,
2013-07-01,"16 de Julio","observed",20415.83,2528.5,18.66,1492,0.000913996638882671,"PP.16julio",0.0400013652169218,0.0289655172413794,13683.5321715818,1694.70509383378,73.0805458313475,,,,,
2013-08-01,"16 de Julio","observed",21161.62,2736.28,-12.49,1526,-0.000590219463349214,"PP.16julio",0.0365299867798663,0.0227882037533511,13867.378768021,1793.10615989515,72.1116814308167,,,,,
2013-09-01,"16 de Julio","observed",22062.39,2859.75,-54.66,1570,-0.0024775194346578,"PP.16julio",0.0425662118495653,0.0288335517693317,14052.4777070064,1821.49681528662,71.1618278890002,,,,,
2013-10-01,"16 de Julio","observed",23705.26,3771.6,41.52,1617,0.0017515100024214,"PP.16julio",0.0744647338751603,0.0299363057324842,14660.0247371676,2332.46753246753,68.2127089093307,,,,,
2013-11-01,"16 de Julio","observed",25492.5,3948.3,-52.19,1638,-0.00204726880455036,"PP.16julio",0.075394237397101,0.0129870129870129,15563.1868131868,2410.43956043956,64.2541924095322,,,,,
2013-12-01,"16 de Julio","observed",26577.75,3243.1,1.63,1641,6.13294955366801e-05,"PP.16julio",0.0425713445130922,0.00183150183150182,16196.0694698355,1976.29494210847,61.7433755679092,,,,,
2014-01-01,"16 de Julio","observed",27343.68,3081.5,-2.53,1649,-9.25259511521492e-05,"PP.16julio",0.0288184665744844,0.00487507617306515,16581.9769557307,1868.70830806549,60.3064400987724,,,,,
2014-02-01,"16 de Julio","observed",27789.31,2849,128.02,1657,0.00460680743782411,"PP.16julio",0.0162973674355464,0.00485142510612491,16770.8569704285,1719.37235968618,59.6272451529023,,,,,
2014-03-01,"16 de Julio","observed",28231.32,2688.8,74.3,1663,0.00263182876323176,"PP.16julio",0.015905756566104,0.00362100181050096,16976.1395069152,1616.83704149128,58.9062077154026,,,,,
2014-04-01,"16 de Julio","observed",29147.17,3633.1,91.75,1659,0.00314781846745327,"PP.16julio",0.0324409202261884,-0.00240529164161152,17569.1199517782,2189.93369499699,56.9180472752586,,,,,
2014-05-01,"16 de Julio","observed",29805.28,3197.8,136.45,1666,0.00457804791634234,"PP.16julio",0.0225788644317784,0.00421940928270037,17890.3241296519,1919.44777911164,55.8961365234616,,,,,
2014-06-01,"16 de Julio","business_projection",30645.83,,169.94,,,"Proyec.16Julio",,,,,,840.550000000003,,,,
2014-06-01,"16 de Julio","observed",30645.83,3221.2,169.94,1667,0.00554528952226127,"PP.16julio",0.0282013790845113,0.000600240096038318,18383.8212357529,1932.33353329334,54.3956551348095,,,,,
2014-07-01,"16 de Julio","business_projection",31240.99,1827.4750382057,0.155324588811721,,4.97182031720893e-06,"Proyec.16Julio",,,,,,601.6,1225.8750382057,0.0400013652169218,0.000913996638882671,
2014-07-01,"16 de Julio","observed",31240.99,3262.5,311.13,1685,0.00995903138792977,"PP.16julio",0.0194205867486703,0.0107978404319136,18540.646884273,1936.20178041543,53.9355506979772,,,,,
2014-08-01,"16 de Julio","business_projection",31842.59,2829.93511385209,-9.16755954533914e-05,,-2.87902445917218e-09,"Proyec.16Julio",,,,,,1688.70216216216,1141.23295168994,0.0365299867798663,-0.000590219463349214,0.0540540540540539
2014-09-01,"16 de Julio","business_projection",33531.2921621622,2988.37176511219,2.27128069419604e-07,,6.77361517478002e-12,"Proyec.16Julio",,,,,,1632.95333333333,1355.41843177885,0.0425662118495653,-0.0024775194346578,0.0512820512820513
2014-10-01,"16 de Julio","business_projection",35164.2454954955,4132.57153574381,3.97817085419099e-10,,1.1313113073052e-14,"Proyec.16Julio",,,,,,1635.67278839816,2496.89874734565,0.0744647338751603,0.0017515100024214,0.0487804878048781
2014-11-01,"16 de Julio","business_projection",36799.9182838936,4660.56692966279,-8.14438508895667e-13,,-2.21315303640803e-17,"Proyec.16Julio",,,,,,2009.38545688546,2651.18147277733,0.075394237397101,-0.00204726880455036,0.0571428571428572
2014-12-01,"16 de Julio","business_projection",38809.3037407791,3555.80677141963,-4.99491028962172e-17,,-1.28703939730135e-21,"Proyec.16Julio",,,,,,1989.18477210236,1566.62199931728,0.0425713445130922,6.13294955366801e-05,0.0540540540540539
