"branch","maturity_stage","months","portfolio_growth_mean","clients_growth_mean","disbursement_per_client_mean_bob","avg_balance_mean_bob","mora_mean"
"16 de Julio","Consolidation",11,0.0362418062456547,0.0091043703253693,1974.86666794205,16653.1494874297,0.00293469663572733
"16 de Julio","Launch",6,1.44427066402476,1.1754054987229,4960.04928069188,8645.76865442582,0
"16 de Julio","Scale-up",12,0.110397446602126,0.0999842297667681,2169.86438055058,13505.112874853,0.00121062472109601
"Ceja","Consolidation",9,0.0377134968545775,0.0249298367747821,2026.28808794392,16891.7506891508,0.000289425728681615
"Ceja","Launch",6,1.93295859757392,1.40853192911254,9120.35295026683,15967.9892685862,0
"Ceja","Scale-up",12,0.106941720182337,0.105003754969204,2585.30100077399,15796.6923973153,0.000555053923178495
"Global","Consolidation",11,0.0399505045389823,0.01978442711892,2031.25671176349,16669.5818058147,0.000904533063814535
"Global","Launch",6,1.65580388536677,1.29772883322648,5699.59431148423,9465.60393163382,0
"Global","Scale-up",12,0.138224817601661,0.133329464319778,2584.3819057264,14554.9212038302,0.000806612998180448
