"branch","mean_monthly_portfolio_growth","growth_volatility","mean_mora","max_mora","final_clients","final_avg_balance_bob","risk_adjusted_outreach_score"
"16 de Julio",0.319456519573268,0.720033372043408,0.00161410895331561,0.00995903138792977,1685,18540.646884273,45.5081394681801
"Ceja",0.434135196221109,1.34375792931602,0.000343165875417647,0.00200426736395703,2142,18024.827264239,62.5285617799331
"Global",0.370613313856521,0.765175369602108,0.000676869644142251,0.00249497587900063,3827,18251.9388555004,97.5050241209994
