"branch","start_date","last_observed_date","observed_months","portfolio_start_kbob","portfolio_last_kbob","portfolio_multiple","portfolio_cagr","clients_start","clients_last","clients_multiple","disbursements_total_kbob","avg_balance_start_bob","avg_balance_last_bob","mora_last","mora_max","mora_mean"
"16 de Julio",2012-03-01,2014-07-01,29,109.8333994,31240.99,284.439798555484,10.2724613707192,18,1685,93.6111111111111,70808.7559692,6101.85552222222,18540.646884273,0.00995903138792977,0.00995903138792977,0.00139994284140149
"Ceja",2012-05-01,2014-07-01,27,134.2182232,38609.18,287.659746042592,12.6585719681398,12,2142,178.5,81403.1182232,11184.8519333333,18024.827264239,-0.00487474740463278,0.00200426736395703,-0.00010344086344992
"Global",2012-03-01,2014-07-01,29,109.8333994,69850.17,635.964746439415,14.9156305061286,18,3827,212.611111111111,152211.8741924,6101.85552222222,18251.9388555004,0.00175976665482704,0.00249497587900063,0.000591517493412832
